job_link,last_processed_time,got_summary,got_ner,is_being_worked,job_title,company,job_location,first_seen,search_city,search_country,search_position,job_level,job_type
https://www.linkedin.com/jobs/view/shift-manager-at-schulte-hospitality-group-3765340353,2024-01-20 15:08:17.603609+00,t,t,f,Shift Manager,Schulte Hospitality Group,"Largo, FL",2024-01-17,Seminole,United States,Supervisor Print Line,Mid senior,Onsite
https://www.linkedin.com/jobs/view/travel-allied-health-professional-ultrasound-technologist-at-glc-group-3764762136,2024-01-19 09:45:09.215838+00,f,f,f,Travel Allied Health Professional - Ultrasound Technologist,GLC Group,"Glens Falls, NY",2024-01-17,Glens Falls,United States,Ultrasound Technologist,Mid senior,Onsite
https://www.linkedin.com/jobs/view/part-time-head-cashier-flexible-at-lowe-s-companies-inc-3807227757,2024-01-21 00:13:07.732306+00,t,t,f,Part Time - Head Cashier - Flexible,"Lowe's Companies, Inc.","Ontario, CA",2024-01-17,West Covina,United States,Teller Head,Mid senior,Onsite
https://www.linkedin.com/jobs/view/business-development-executive-at-hire-velocity-3790207805,2024-01-20 09:03:22.849922+00,t,t,f,Business Development Executive,Hire Velocity,"Birmingham, AL",2024-01-17,Birmingham,United States,Tanker,Mid senior,Onsite
https://www.linkedin.com/jobs/view/guest-services-leader-at-pilot-company-3796746503,2024-01-19 09:45:09.215838+00,f,f,f,Guest Services Leader,Pilot Company,"Fort Worth, TX",2024-01-17,Arlington,United States,Supervisor Pipeline Maintenance,Mid senior,Onsite
https://www.linkedin.com/jobs/view/software-engineer-at-boeing-intelligence-analytics-3785066257,2024-01-19 09:45:09.215838+00,f,f,f,Software Engineer,Boeing Intelligence & Analytics,"Annapolis Junction, MD",2024-01-17,Catonsville,United States,Tool Grinder I,Mid senior,Onsite
https://www.linkedin.com/jobs/view/group-manager-process-and-continuous-improvement-at-legalzoom-3780023085,2024-01-20 01:56:11.202769+00,t,t,f,"Group Manager, Process and Continuous Improvement",LegalZoom,"Glendale, CA",2024-01-17,West Covina,United States,Supervisor Mapping,Mid senior,Onsite
https://www.linkedin.com/jobs/view/pediatric-rn-lpn-in-wildwood-valley-park-fenton-ballwin-mo-at-craig-homecare-a-phs-company-3805671711,2024-01-21 14:46:15.604781+00,t,t,f,"Pediatric RN/LPN in Wildwood, Valley Park, Fenton & Ballwin, MO","Craig HomeCare, A PHS Company","Chesterfield, MO",2024-01-17,Defiance,United States,Ventilator,Mid senior,Onsite
https://www.linkedin.com/jobs/view/nurse-case-manager-east-bay-area-at-paradigm-3783999361,2024-01-21 00:13:29.663977+00,t,t,f,Nurse Case Manager - East Bay Area,Paradigm,"Richmond, CA",2024-01-17,Novato,United States,Utilization-Review Coordinator,Mid senior,Onsite
https://www.linkedin.com/jobs/view/vermessungstechniker-in-im-bahnbau-m-w-d-in-hannover-deutschland-at-energy-jobline-3793273792,2024-01-19 09:45:09.215838+00,f,f,f,"Vermessungstechniker:in im Bahnbau(m/w/d) in Hannover, Deutschland",Energy Jobline,"Hanover, MD",2024-01-17,Bethesda-Chevy Chase,United States,Surveyor Helper,Mid senior,Onsite
